# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: 335a6669adf1
# engine: walk
# repeat: 1000
# warmup: 1 (untimed solves per cell, discarded)
# trace: off
# invocation: /home/ghecht/Projects/hven/.scratch/w5t89r/arm-base/build/bench/hven_sqp_corpus --hs --engine walk --repeat 1000 --hs-warmup 1 --hs-trace off --csv /home/ghecht/Projects/hven/.scratch/w5t89r/art/raw/leg2/walk/off/passB-base-r2.csv
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-11T12:59:45Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,walk,off,1000,1,1.287154000e-03,1.277994000e-03,1.478603000e-03,15.585470,0.042108,1,Optimal,6.936546680196378e-24,29,66,27,0,0,0,0,0,0,30,0,0,0,0,0
3,walk,off,1000,1,2.238090000e-04,2.213290000e-04,3.046880000e-04,37.245598,0.094878,1,Optimal,5.6137536525295306e-18,4,9,4,0,0,0,0,0,0,5,0,0,0,0,0
5,walk,off,1000,1,1.859290000e-04,1.841290000e-04,2.770880000e-04,49.997042,0.119447,1,Optimal,-1.9132229549810362,4,9,4,0,0,0,0,0,0,5,0,0,0,0,0
6,walk,off,1000,1,5.891425000e-04,5.771670000e-04,9.565560000e-04,64.396814,0.113178,1,Optimal,0,8,22,8,0,0,0,0,0,0,9,0,0,0,0,0
7,walk,off,1000,1,7.471470000e-04,7.330470000e-04,8.694660000e-04,18.258656,0.052686,1,Optimal,-1.7320508086422415,9,28,11,0,0,0,0,0,0,10,0,0,0,0,0
10,walk,off,1000,1,5.510790000e-03,5.457856000e-03,6.282642000e-03,14.966747,0.059644,1,Optimal,-1.0000000024811382,14,218,64,0,0,8,48,0,0,15,0,0,0,0,0
11,walk,off,1000,1,1.358889000e-03,1.348334000e-03,1.520243000e-03,12.650702,0.034809,1,Optimal,-8.4984642243504283,7,55,9,0,0,2,12,0,0,8,0,0,0,0,0
12,walk,off,1000,1,4.078380000e-04,3.918080000e-04,5.472770000e-04,38.120283,0.100346,1,Optimal,-30.000000000910362,6,16,6,0,0,0,0,0,0,7,0,0,0,0,0
14,walk,off,1000,1,2.588535000e-04,2.531890000e-04,3.150380000e-04,23.893438,0.081787,1,Optimal,1.393464980687884,5,10,5,0,0,0,0,0,0,6,0,0,0,0,0
15,walk,off,1000,1,1.010815500e-03,1.000806000e-03,1.374974000e-03,37.016449,0.060987,1,Optimal,360.37976717049241,7,37,8,0,0,1,6,0,0,8,0,0,0,0,0
22,walk,off,1000,1,2.545140000e-04,2.518790000e-04,3.342580000e-04,32.367178,0.100903,1,Optimal,1,2,8,2,0,0,0,0,0,0,3,0,0,0,0,0
24,walk,off,1000,1,4.435230000e-04,4.299580000e-04,5.852870000e-04,35.021634,0.099249,1,Optimal,-1.0000000000000002,3,11,4,0,0,0,0,0,0,4,0,0,0,0,0
25,walk,off,1000,1,2.675000000e-05,2.640000000e-05,3.556000000e-05,34.242991,0.130436,1,Optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,walk,off,1000,1,9.030560000e-04,8.882560000e-04,1.215285000e-03,36.213590,0.062943,1,Optimal,2.2822014587976076e-12,17,37,17,0,0,0,0,0,0,18,0,0,0,0,0
27,walk,off,1000,1,1.341219000e-03,1.317284000e-03,1.501853000e-03,13.761287,0.077981,1,Optimal,0.040000000000000001,4,37,40,0,0,1,6,0,0,5,0,0,0,0,0
28,walk,off,1000,1,2.276140000e-04,2.227490000e-04,4.162880000e-04,85.029480,0.212107,1,Optimal,1.2325951644078309e-32,3,8,3,0,0,0,0,0,0,4,0,0,0,0,0
30,walk,off,1000,1,6.415025000e-04,6.299370000e-04,7.731860000e-04,22.330233,0.052537,1,Optimal,1.0000002384185596,11,24,11,0,0,0,0,0,0,12,0,0,0,0,0
33,walk,off,1000,1,6.787470000e-04,6.668370000e-04,7.699170000e-04,15.186807,0.045138,1,Optimal,-3.9999999999737859,4,16,5,0,0,0,0,0,0,5,0,0,0,0,0
35,walk,off,1000,1,9.165000000e-05,9.059900000e-05,1.283390000e-04,41.178396,0.131792,1,Optimal,0.1111111111111108,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0
38,walk,off,1000,1,3.347240000e-03,3.309546000e-03,5.435566000e-03,63.515613,0.180811,1,Optimal,3.5412391703464998e-19,49,137,48,0,0,0,0,0,0,50,0,0,0,0,0
39,walk,off,1000,1,6.917770000e-04,6.796570000e-04,8.229970000e-04,20.720550,0.064449,1,Optimal,-1.0000000251936934,9,26,13,0,0,0,0,0,0,10,0,0,0,0,0
40,walk,off,1000,1,2.341590000e-04,2.318190000e-04,3.112990000e-04,33.942748,0.106698,1,Optimal,-0.25000000000317785,4,8,4,0,0,0,0,0,0,5,0,0,0,0,0
43,walk,off,1000,1,6.538620000e-04,6.412480000e-04,7.980160000e-04,23.975701,0.073331,1,Optimal,-44.000000001934538,7,23,7,0,0,0,0,0,0,8,0,0,0,0,0
45,walk,off,1000,1,5.246225000e-04,5.155280000e-04,6.033170000e-04,16.733747,0.056634,1,Optimal,1,3,8,3,0,0,0,0,0,0,4,0,0,0,0,0
76,walk,off,1000,1,2.793285000e-04,2.738280000e-04,4.140390000e-04,50.195737,0.131833,1,Optimal,-4.6818181818181817,2,9,2,0,0,0,0,0,0,3,0,0,0,0,0
77,walk,off,1000,1,7.243215000e-04,7.134870000e-04,7.936160000e-04,11.062629,0.039663,1,Optimal,0.24150512879002839,12,29,10,2,0,0,0,0,0,13,0,0,0,0,0
79,walk,off,1000,1,2.421590000e-04,2.394890000e-04,3.500880000e-04,45.672058,0.126320,1,Optimal,0.078776821223127472,4,8,4,0,0,0,0,0,0,5,0,0,0,0,0
